sep=;
"Series";"Time";"Value"
"Raspi_03";"2021-10-01T11:27:18+02:00";543.490478515625
"Raspi_03";"2021-10-01T11:27:20+02:00";544.0887451171875
"Raspi_03";"2021-10-01T11:27:22+02:00";544.6199951171875
"Raspi_03";"2021-10-01T11:27:24+02:00";544.5909423828125
"Raspi_03";"2021-10-01T11:27:26+02:00";544.9768676757812
"Raspi_03";"2021-10-01T11:27:28+02:00";545.7249145507812
"Raspi_03";"2021-10-01T11:27:30+02:00";546.02001953125
"Raspi_03";"2021-10-01T11:27:33+02:00";546.2554321289062
"Raspi_03";"2021-10-01T11:27:35+02:00";547.1067504882812
"Raspi_03";"2021-10-01T11:27:37+02:00";547.6683959960938
"Raspi_03";"2021-10-01T11:27:39+02:00";547.8510131835938
"Raspi_03";"2021-10-01T11:27:41+02:00";548.3876342773438
"Raspi_03";"2021-10-01T11:27:43+02:00";548.8370361328125
"Raspi_03";"2021-10-01T11:27:45+02:00";549.447021484375
"Raspi_03";"2021-10-01T11:27:47+02:00";549.5286254882812
"Raspi_03";"2021-10-01T11:27:49+02:00";549.7908325195312
"Raspi_03";"2021-10-01T11:27:52+02:00";550.2110595703125
"Raspi_03";"2021-10-01T11:27:54+02:00";550.7369384765625
"Raspi_03";"2021-10-01T11:27:56+02:00";550.7469482421875
"Raspi_03";"2021-10-01T11:27:58+02:00";551.4334716796875
"Raspi_03";"2021-10-01T11:28:00+02:00";551.9552001953125
"Raspi_03";"2021-10-01T11:28:02+02:00";552.5538940429688
"Raspi_03";"2021-10-01T11:28:04+02:00";552.8580932617188
"Raspi_03";"2021-10-01T11:28:06+02:00";553.06591796875
"Raspi_03";"2021-10-01T11:28:08+02:00";553.2477416992188
"Raspi_03";"2021-10-01T11:28:11+02:00";553.0902709960938
"Raspi_03";"2021-10-01T11:28:13+02:00";552.9580688476562
"Raspi_03";"2021-10-01T11:28:15+02:00";553.41455078125
"Raspi_03";"2021-10-01T11:28:17+02:00";553.3717651367188
"Raspi_03";"2021-10-01T11:28:19+02:00";553.6161499023438
"Raspi_03";"2021-10-01T11:28:21+02:00";553.6016235351562
"Raspi_03";"2021-10-01T11:28:23+02:00";553.3056640625
"Raspi_03";"2021-10-01T11:28:25+02:00";552.9019165039062
"Raspi_03";"2021-10-01T11:28:27+02:00";553.361083984375
"Raspi_03";"2021-10-01T11:28:30+02:00";553.9751586914062
"Raspi_03";"2021-10-01T11:28:32+02:00";554.4763793945312
"Raspi_03";"2021-10-01T11:28:34+02:00";554.483642578125
"Raspi_03";"2021-10-01T11:28:36+02:00";555.0672607421875
"Raspi_03";"2021-10-01T11:28:38+02:00";555.7997436523438
"Raspi_03";"2021-10-01T11:28:40+02:00";555.8970336914062
"Raspi_03";"2021-10-01T11:28:42+02:00";555.865966796875
"Raspi_03";"2021-10-01T11:28:44+02:00";556.2658081054688
"Raspi_03";"2021-10-01T11:28:46+02:00";557.129638671875
"Raspi_03";"2021-10-01T11:28:48+02:00";557.6973266601562
"Raspi_03";"2021-10-01T11:28:51+02:00";558.8329467773438
